id,item_name,category_id
1,블링블링 블라우스,1
2,시크 블라우스,1
3,기본 필수 소장템! 라운드티,2
4,여름 필수 브이넥티,2
5,깜찍한 오버사이즈 티셔츠,2
6,색깔별 모아두는 필수 셔츠템,3
7,[커플룩 전용] 남녀공용 셔츠,3
8,기본 가디건,4
9,여름 전용 시원한 면바지,5
10,깜찍한 숏팬츠,6
11,편하게 입는 청바지,6
12,올여름 필수템! 청반바지 필수템,6
13,기본 검정 플레어스커트,7
14,레이스 장착한 깜찍 플레어스커트,7
15,라인을 돋보이게 하는 H스커트,7
16,색감대박! 청순 청스커트,7
17,여신강림 하늘하늘 원피스,12
18,동안연출 깜찍 원피스,12
19,부담없이 입는 롱기장 원피스,12
20,[주문폭주] 여름전용 HOT 트레이닝복,13
21,"집에서도 상큼하게, 홈웨어세트 (여름용)",14
22,"집에서도 상큼하게, 홈웨어세트 (봄가을용)",14
23,올겨울 필수템 롱코트,9
24,주문대란 롱패딩,10
25,[유니크템] 평범함을 거부하는 간지코트,9
26,연출대박 시크 청자켓,11
27,블랙 시크 자켓 (오버사이즈),11
